indicator_label,indicator_id,indicator_desc,minset_series,minset_series_desc,ref_area,ref_area_desc,iso3,x,y,sdg_region,time_period,time_detail,sex,sex_desc,age,age_desc,urbanization,urbanization_desc,obs_value,unit_measure,unit_measure_desc,nature,nature_desc,reporting_type,reporting_type_desc,comment_obs,source_detail,source_year,dimensions,is_latest_year
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",120,Cameroon,CMR,12.7419827,5.692387031,Sub-Saharan Africa,2014,2014,M,Male,Y_GE10,10 years old and over,_T,All areas,1.135864717008921,HR_PER_DAY,Hours per day,C,Country Data,G,Global,,"INS, Cameroun based on Fourth Cameroon Household Survey ECAM 4",2022,"sex, age, urbanization",1
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",170,Colombia,COL,-73.07446751,3.888209046,Latin America and the Caribbean,2017,2016-2017,M,Male,Y_GE10,10 years old and over,_T,All areas,1.107816666666667,HR_PER_DAY,Hours per day,C,Country Data,G,Global,"Include ""Time spent on transfers related to unpaid domestic and care work activities""",DANE based on National Time Use Survey,2022,"sex, age, urbanization",1
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",170,Colombia,COL,-73.07446751,3.888209046,Latin America and the Caribbean,2013,2012-2013,M,Male,Y_GE10,10 years old and over,_T,All areas,0.2059138888888889,HR_PER_DAY,Hours per day,C,Country Data,G,Global,"Include ""Time spent on transfers related to unpaid domestic and care work activities""",DANE based on National Time Use Survey,2022,"sex, age, urbanization",
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",246,Finland,FIN,23.308447,61.91586738,Europe and Northern America,2000,1999-2000,M,Male,Y_GE10,10 years old and over,_T,All areas,2.296,HR_PER_DAY,Hours per day,C,Country Data,G,Global,Unpaid domestic work might include small amount of time spent on production of goods for own final use.,Statistics Finland  based on Time Use Survey,2022,"sex, age, urbanization",
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",246,Finland,FIN,23.308447,61.91586738,Europe and Northern America,2010,2009-2010,M,Male,Y_GE10,10 years old and over,_T,All areas,2.389,HR_PER_DAY,Hours per day,C,Country Data,G,Global,Unpaid domestic work might include small amount of time spent on production of goods for own final use.,Statistics Finland  based on Time Use Survey,2022,"sex, age, urbanization",1
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",275,State of Palestine,PSE,35.25694122,31.94347933,Northern Africa and Western Asia,2000,1999-2000,M,Male,Y_GE10,10 years old and over,_T,All areas,0.7333333333333334,HR_PER_DAY,Hours per day,C,Country Data,G,Global,,Palestinian Central Bureau of Statistics (PCBS) based on Time Use Survey 1999-2000,2022,"sex, age, urbanization",
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",275,State of Palestine,PSE,35.25694122,31.94347933,Northern Africa and Western Asia,2013,2012-2013,M,Male,Y_GE10,10 years old and over,_T,All areas,0.7166666666666667,HR_PER_DAY,Hours per day,C,Country Data,G,Global,,Palestinian Central Bureau of Statistics (PCBS) based on Time Use Survey 2012/2013,2022,"sex, age, urbanization",1
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",276,Germany,DEU,10.3806066,51.08862743,Europe and Northern America,2002,2001-2002,M,Male,Y_GE10,10 years old and over,_T,All areas,2.515,HR_PER_DAY,Hours per day,C,Country Data,G,Global,"Unpaid domestic work includes ""Other activities in the fields of housekeeping and family care"" and ""travel related to other activities in regard to housekeeping and care of family members"" which are overlapping categories and (might) include a certain amount of time belonging to both categories (unpaid domestic work and unpaid care work as well).",Federal Statistical Office  based on Time Use Survey in Germany,2022,"sex, age, urbanization",
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",276,Germany,DEU,10.3806066,51.08862743,Europe and Northern America,2013,2012-2013,M,Male,Y_GE10,10 years old and over,_T,All areas,2.405,HR_PER_DAY,Hours per day,C,Country Data,G,Global,"Unpaid domestic work includes ""Other activities in the fields of housekeeping and family care"" and ""travel related to other activities in regard to housekeeping and care of family members"" which are overlapping categories and (might) include a certain amount of time belonging to both categories (unpaid domestic work and unpaid care work as well).",Federal Statistical Office  based on Time Use Survey in Germany,2022,"sex, age, urbanization",1
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",300,Greece,GRC,22.58307827,39.47301873,Europe and Northern America,2014,2013-2014,M,Male,Y_GE10,10 years old and over,_T,All areas,1.6,HR_PER_DAY,Hours per day,C,Country Data,G,Global,Unpaid domestic work might include small amount of time spent on production of goods for own final use.,Hellenic Statistical Authority (ELSTAT) based on Time use survey,2022,"sex, age, urbanization",1
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",348,Hungary,HUN,19.41221519,47.1651448,Europe and Northern America,2010,2009-2010,M,Male,Y_GE10,10 years old and over,_T,All areas,1.837493673787652,HR_PER_DAY,Hours per day,C,Country Data,G,Global,Unpaid domestic work might include small amount of time spent on production of goods for own final use.,Hungarian Central Statistical Office based on Time use survey,2022,"sex, age, urbanization",1
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",392,Japan,JPN,139.2716103,36.6554539,Eastern and South-Eastern Asia,2001,2001,M,Male,Y_GE10,10 years old and over,_T,All areas,0.5166666666666666,HR_PER_DAY,Hours per day,C,Country Data,G,Global,,Ministry of Internal Affairs and Communications (MIC) based on Survey on Time Use and Leisure Activities,2022,"sex, age, urbanization",
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",392,Japan,JPN,139.2716103,36.6554539,Eastern and South-Eastern Asia,2006,2006,M,Male,Y_GE10,10 years old and over,_T,All areas,0.6333333333333333,HR_PER_DAY,Hours per day,C,Country Data,G,Global,,Ministry of Internal Affairs and Communications (MIC) based on Survey on Time Use and Leisure Activities,2022,"sex, age, urbanization",
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",392,Japan,JPN,139.2716103,36.6554539,Eastern and South-Eastern Asia,2011,2011,M,Male,Y_GE10,10 years old and over,_T,All areas,0.7,HR_PER_DAY,Hours per day,C,Country Data,G,Global,,Ministry of Internal Affairs and Communications (MIC) based on 2011 Survey on Time Use and Leisure Activities,2022,"sex, age, urbanization",
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",392,Japan,JPN,139.2716103,36.6554539,Eastern and South-Eastern Asia,2016,2016,M,Male,Y_GE10,10 years old and over,_T,All areas,0.7333333333333333,HR_PER_DAY,Hours per day,C,Country Data,G,Global,,Ministry of Internal Affairs and Communications (MIC) based on 2016 Survey on Time Use and Leisure Activities,2022,"sex, age, urbanization",
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",392,Japan,JPN,139.2716103,36.6554539,Eastern and South-Eastern Asia,2021,2021,M,Male,Y_GE10,10 years old and over,_T,All areas,0.85,HR_PER_DAY,Hours per day,C,Country Data,G,Global,,2021 Survey on Time Use and Leisure Activities,2022,"sex, age, urbanization",1
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",398,Kazakhstan,KAZ,66.65359159,48.01963494,Central and Southern Asia,2018,2018,M,Male,Y_GE10,10 years old and over,_T,All areas,1.416666666666666,HR_PER_DAY,Hours per day,C,Country Data,G,Global,,The Agency of the Republic of Kazakhstan on Statistics based on The time use budget of population,2022,"sex, age, urbanization",1
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",410,Republic of Korea,KOR,127.8610254,36.45201023,Eastern and South-Eastern Asia,2004,2004,M,Male,Y_GE10,10 years old and over,_T,All areas,0.6666666666666665,HR_PER_DAY,Hours per day,C,Country Data,G,Global,Unpaid domestic work might include small amount of time spent on production of goods for own final use.,Statistics Korea based on Time Use Survey,2022,"sex, age, urbanization",
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",410,Republic of Korea,KOR,127.8610254,36.45201023,Eastern and South-Eastern Asia,2009,2009,M,Male,Y_GE10,10 years old and over,_T,All areas,0.7496666666666667,HR_PER_DAY,Hours per day,C,Country Data,G,Global,Unpaid domestic work might include small amount of time spent on production of goods for own final use.,Statistics Korea based on Time Use Survey,2022,"sex, age, urbanization",
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",410,Republic of Korea,KOR,127.8610254,36.45201023,Eastern and South-Eastern Asia,2014,2014,M,Male,Y_GE10,10 years old and over,_T,All areas,0.8,HR_PER_DAY,Hours per day,C,Country Data,G,Global,Unpaid domestic work might include small amount of time spent on production of goods for own final use.,Statistics Korea based on Time Use Survey,2022,"sex, age, urbanization",
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",410,Republic of Korea,KOR,127.8610254,36.45201023,Eastern and South-Eastern Asia,2019,2019,M,Male,Y_GE10,10 years old and over,_T,All areas,0.8666666666666667,HR_PER_DAY,Hours per day,C,Country Data,G,Global,,2019 Time use survey,2022,"sex, age, urbanization",1
I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",440,Lithuania,LTU,23.90517807,55.33680309,Europe and Northern America,2003,2003,M,Male,Y_GE10,10 years old and over,_T,All areas,2.0,HR_PER_DAY,Hours per day,C,Country Data,G,Global,Travel related to unpaid domestic and care work is not included.,Statistics Lithuania based on Time Use Survey,2022,"sex, age, urbanization",1
