Descricao Area de Referencia,Regiao SDG,Periodo de Tempo,Genero,Idade,Valor Observado,Descricao Unidade de Medida,Ano da Fonte,Ano Mais Recente
Kazakhstan,Central and Southern Asia,2018,Female,10 years old and over,4.3,Hours per day,2022,1.0
Republic of Korea,Eastern and South-Eastern Asia,2004,Female,10 years old and over,3.500333333333334,Hours per day,2022,Sem Informação
Republic of Korea,Eastern and South-Eastern Asia,2009,Female,10 years old and over,3.449666666666666,Hours per day,2022,Sem Informação
Republic of Korea,Eastern and South-Eastern Asia,2014,Female,10 years old and over,3.35,Hours per day,2022,Sem Informação
Republic of Korea,Eastern and South-Eastern Asia,2019,Female,10 years old and over,2.966666666666666,Hours per day,2022,1.0
Lithuania,Europe and Northern America,2003,Female,10 years old and over,4.017,Hours per day,2022,1.0
Republic of Moldova,Europe and Northern America,2012,Female,10 years old and over,4.670100000000001,Hours per day,2022,1.0
Pakistan,Central and Southern Asia,2007,Female,10 years old and over,4.766666666666667,Hours per day,2022,1.0
Poland,Europe and Northern America,2013,Female,10 years old and over,4.233000000000001,Hours per day,2022,1.0
Romania,Europe and Northern America,2000,Female,10 years old and over,5.000000000000001,Hours per day,2022,Sem Informação
Romania,Europe and Northern America,2012,Female,10 years old and over,4.566666666666666,Hours per day,2022,1.0
Austria,Europe and Northern America,2009,Male,10 years old and over,2.295896884211747,Hours per day,2022,1.0
Cameroon,Sub-Saharan Africa,2014,Male,10 years old and over,1.135864717008921,Hours per day,2022,1.0
Colombia,Latin America and the Caribbean,2017,Male,10 years old and over,1.107816666666667,Hours per day,2022,1.0
Colombia,Latin America and the Caribbean,2013,Male,10 years old and over,0.2059138888888889,Hours per day,2022,Sem Informação
Finland,Europe and Northern America,2000,Male,10 years old and over,2.296,Hours per day,2022,Sem Informação
Finland,Europe and Northern America,2010,Male,10 years old and over,2.389,Hours per day,2022,1.0
State of Palestine,Northern Africa and Western Asia,2000,Male,10 years old and over,0.7333333333333334,Hours per day,2022,Sem Informação
State of Palestine,Northern Africa and Western Asia,2013,Male,10 years old and over,0.7166666666666667,Hours per day,2022,1.0
Germany,Europe and Northern America,2002,Male,10 years old and over,2.515,Hours per day,2022,Sem Informação
Germany,Europe and Northern America,2013,Male,10 years old and over,2.405,Hours per day,2022,1.0
Greece,Europe and Northern America,2014,Male,10 years old and over,1.6,Hours per day,2022,1.0
Hungary,Europe and Northern America,2010,Male,10 years old and over,1.837493673787652,Hours per day,2022,1.0
Japan,Eastern and South-Eastern Asia,2001,Male,10 years old and over,0.5166666666666666,Hours per day,2022,Sem Informação
Japan,Eastern and South-Eastern Asia,2006,Male,10 years old and over,0.6333333333333333,Hours per day,2022,Sem Informação
Japan,Eastern and South-Eastern Asia,2011,Male,10 years old and over,0.7,Hours per day,2022,Sem Informação
Japan,Eastern and South-Eastern Asia,2016,Male,10 years old and over,0.7333333333333333,Hours per day,2022,Sem Informação
Japan,Eastern and South-Eastern Asia,2021,Male,10 years old and over,0.85,Hours per day,2022,1.0
Kazakhstan,Central and Southern Asia,2018,Male,10 years old and over,1.416666666666666,Hours per day,2022,1.0
Republic of Korea,Eastern and South-Eastern Asia,2004,Male,10 years old and over,0.6666666666666665,Hours per day,2022,Sem Informação
Republic of Korea,Eastern and South-Eastern Asia,2009,Male,10 years old and over,0.7496666666666667,Hours per day,2022,Sem Informação
Republic of Korea,Eastern and South-Eastern Asia,2014,Male,10 years old and over,0.8,Hours per day,2022,Sem Informação
Republic of Korea,Eastern and South-Eastern Asia,2019,Male,10 years old and over,0.8666666666666667,Hours per day,2022,1.0
Lithuania,Europe and Northern America,2003,Male,10 years old and over,2.0,Hours per day,2022,1.0
Republic of Moldova,Europe and Northern America,2012,Male,10 years old and over,2.6303,Hours per day,2022,1.0
Pakistan,Central and Southern Asia,2007,Male,10 years old and over,0.4333333333333334,Hours per day,2022,1.0
Poland,Europe and Northern America,2013,Male,10 years old and over,2.3,Hours per day,2022,1.0
Romania,Europe and Northern America,2000,Male,10 years old and over,2.3,Hours per day,2022,Sem Informação
Romania,Europe and Northern America,2012,Male,10 years old and over,2.25,Hours per day,2022,1.0
Chile,Latin America and the Caribbean,2015,Female,12 years old and over,5.304852,Hours per day,2022,1.0
Costa Rica,Latin America and the Caribbean,2017,Female,12 years old and over,5.115933895277557,Hours per day,2022,1.0
Mexico,Latin America and the Caribbean,2002,Female,12 years old and over,6.986982938000001,Hours per day,2022,Sem Informação
Mexico,Latin America and the Caribbean,2009,Female,12 years old and over,7.095154929640221,Hours per day,2022,Sem Informação
Mexico,Latin America and the Caribbean,2014,Female,12 years old and over,6.177533309591695,Hours per day,2022,Sem Informação
Mexico,Latin America and the Caribbean,2019,Female,12 years old and over,6.40143566235396,Hours per day,2022,1.0
Mongolia,Eastern and South-Eastern Asia,2000,Female,12 years old and over,4.814,Hours per day,2022,Sem Informação
Mongolia,Eastern and South-Eastern Asia,2007,Female,12 years old and over,4.749999999999999,Hours per day,2022,Sem Informação
Mongolia,Eastern and South-Eastern Asia,2011,Female,12 years old and over,4.766666666666667,Hours per day,2022,Sem Informação
Mongolia,Eastern and South-Eastern Asia,2015,Female,12 years old and over,4.233333333333333,Hours per day,2022,Sem Informação
Mongolia,Eastern and South-Eastern Asia,2019,Female,12 years old and over,4.54177233640555,Hours per day,2022,1.0
Peru,Latin America and the Caribbean,2010,Female,12 years old and over,5.439888030063765,Hours per day,2022,1.0
Chile,Latin America and the Caribbean,2015,Male,12 years old and over,2.3649515,Hours per day,2022,1.0
Costa Rica,Latin America and the Caribbean,2017,Male,12 years old and over,1.957938855225443,Hours per day,2022,1.0
Mexico,Latin America and the Caribbean,2002,Male,12 years old and over,1.52475822,Hours per day,2022,Sem Informação
Mexico,Latin America and the Caribbean,2009,Male,12 years old and over,2.413699003342807,Hours per day,2022,Sem Informação
Mexico,Latin America and the Caribbean,2014,Male,12 years old and over,2.256240817477642,Hours per day,2022,Sem Informação
Mexico,Latin America and the Caribbean,2019,Male,12 years old and over,2.588566167082638,Hours per day,2022,1.0
Mongolia,Eastern and South-Eastern Asia,2000,Male,12 years old and over,2.140666666666667,Hours per day,2022,Sem Informação
Mongolia,Eastern and South-Eastern Asia,2007,Male,12 years old and over,1.983333333333333,Hours per day,2022,Sem Informação
Mongolia,Eastern and South-Eastern Asia,2011,Male,12 years old and over,2.183333333333334,Hours per day,2022,Sem Informação
Mongolia,Eastern and South-Eastern Asia,2015,Male,12 years old and over,1.533333333333333,Hours per day,2022,Sem Informação
Mongolia,Eastern and South-Eastern Asia,2019,Male,12 years old and over,1.78909834774143,Hours per day,2022,1.0
Peru,Latin America and the Caribbean,2010,Male,12 years old and over,2.120966684880591,Hours per day,2022,1.0
Australia,Australia and New Zealand,2006,Female,15 years old and over,5.000000000000001,Hours per day,2022,1.0
Austria,Europe and Northern America,2009,Female,15 years old and over,4.576689633242352,Hours per day,2022,1.0
Armenia,Northern Africa and Western Asia,2004,Female,15 years old and over,5.766666666666667,Hours per day,2022,Sem Informação
Armenia,Northern Africa and Western Asia,2008,Female,15 years old and over,5.198,Hours per day,2022,1.0
Belgium,Europe and Northern America,2013,Female,15 years old and over,0.5842,Hours per day,2022,1.0
Cameroon,Sub-Saharan Africa,2014,Female,15 years old and over,3.79700568873861,Hours per day,2022,1.0
Canada,Europe and Northern America,2005,Female,15 years old and over,3.800000000000001,Hours per day,2022,Sem Informação
Canada,Europe and Northern America,2010,Female,15 years old and over,3.9,Hours per day,2022,Sem Informação
Canada,Europe and Northern America,2015,Female,15 years old and over,3.4,Hours per day,2022,1.0
Chile,Latin America and the Caribbean,2008,Female,15 years old and over,3.822480000000001,Hours per day,2022,1.0
Colombia,Latin America and the Caribbean,2017,Female,15 years old and over,1.204922222222222,Hours per day,2022,1.0
Colombia,Latin America and the Caribbean,2013,Female,15 years old and over,1.013991666666667,Hours per day,2022,Sem Informação
Costa Rica,Latin America and the Caribbean,2017,Female,15 years old and over,5.314970017998547,Hours per day,2022,1.0
Fiji,"Oceania, exc. Australia and New Zealand",2016,Female,15 years old and over,3.63794779709548,Hours per day,2022,1.0
Finland,Europe and Northern America,2000,Female,15 years old and over,3.796999999999999,Hours per day,2022,Sem Informação
Finland,Europe and Northern America,2010,Female,15 years old and over,3.649,Hours per day,2022,1.0
France,Europe and Northern America,2010,Female,15 years old and over,3.7855547,Hours per day,2022,1.0
Georgia,Northern Africa and Western Asia,2021,Female,15 years old and over,4.269350809378491,Hours per day,2022,1.0
State of Palestine,Northern Africa and Western Asia,2000,Female,15 years old and over,5.55,Hours per day,2022,Sem Informação
State of Palestine,Northern Africa and Western Asia,2013,Female,15 years old and over,4.833333333333332,Hours per day,2022,1.0
Germany,Europe and Northern America,2013,Female,15 years old and over,3.946000000000001,Hours per day,2022,1.0
Greece,Europe and Northern America,2014,Female,15 years old and over,4.349999999700001,Hours per day,2022,1.0
Hungary,Europe and Northern America,2010,Female,15 years old and over,4.146417282276415,Hours per day,2022,1.0
Italy,Europe and Northern America,2003,Female,15 years old and over,5.13,Hours per day,2022,Sem Informação
Italy,Europe and Northern America,2009,Female,15 years old and over,4.919999999999999,Hours per day,2022,Sem Informação
Italy,Europe and Northern America,2014,Female,15 years old and over,4.79,Hours per day,2022,1.0
Japan,Eastern and South-Eastern Asia,2001,Female,15 years old and over,3.75,Hours per day,2022,Sem Informação
Japan,Eastern and South-Eastern Asia,2006,Female,15 years old and over,3.733333333333333,Hours per day,2022,Sem Informação
Japan,Eastern and South-Eastern Asia,2011,Female,15 years old and over,3.75,Hours per day,2022,Sem Informação
Japan,Eastern and South-Eastern Asia,2016,Female,15 years old and over,3.633333333333334,Hours per day,2022,Sem Informação
Japan,Eastern and South-Eastern Asia,2021,Female,15 years old and over,3.53,Hours per day,2022,1.0
Kazakhstan,Central and Southern Asia,2018,Female,15 years old and over,4.55,Hours per day,2022,1.0
Republic of Korea,Eastern and South-Eastern Asia,2014,Female,15 years old and over,3.499,Hours per day,2022,Sem Informação
Republic of Korea,Eastern and South-Eastern Asia,2019,Female,15 years old and over,3.083333333333333,Hours per day,2022,1.0
Lao People's Democratic Republic,Eastern and South-Eastern Asia,2017,Female,15 years old and over,3.264911330745911,Hours per day,2022,1.0
Liberia,Sub-Saharan Africa,2010,Female,15 years old and over,1.510161386730424,Hours per day,2022,1.0
Mexico,Latin America and the Caribbean,2009,Female,15 years old and over,7.449794453592046,Hours per day,2022,Sem Informação
Mexico,Latin America and the Caribbean,2014,Female,15 years old and over,6.472899841259022,Hours per day,2022,Sem Informação
Mexico,Latin America and the Caribbean,2019,Female,15 years old and over,6.664379120485268,Hours per day,2022,1.0
Mongolia,Eastern and South-Eastern Asia,2019,Female,15 years old and over,4.629909056324476,Hours per day,2022,1.0
Republic of Moldova,Europe and Northern America,2012,Female,15 years old and over,4.833219230466391,Hours per day,2022,1.0
Oman,Northern Africa and Western Asia,2000,Female,15 years old and over,4.933333333333334,Hours per day,2022,Sem Informação
Oman,Northern Africa and Western Asia,2008,Female,15 years old and over,4.533333333333334,Hours per day,2022,1.0
Norway,Europe and Northern America,2011,Female,15 years old and over,3.674,Hours per day,2022,1.0
Paraguay,Latin America and the Caribbean,2016,Female,15 years old and over,3.48600498309638,Hours per day,2022,1.0
Peru,Latin America and the Caribbean,2010,Female,15 years old and over,5.654475321802957,Hours per day,2022,1.0
Poland,Europe and Northern America,2013,Female,15 years old and over,4.382999999999999,Hours per day,2022,1.0
Portugal,Europe and Northern America,2015,Female,15 years old and over,4.274725,Hours per day,2022,1.0
Serbia,Europe and Northern America,2015,Female,15 years old and over,4.600214038813881,Hours per day,2022,1.0
Serbia,Europe and Northern America,2011,Female,15 years old and over,4.856842619978432,Hours per day,2022,Sem Informação
Sweden,Europe and Northern America,2011,Female,15 years old and over,3.850083580407581,Hours per day,2022,1.0
Switzerland,Europe and Northern America,2000,Female,15 years old and over,4.348999999999999,Hours per day,2022,Sem Informação
Switzerland,Europe and Northern America,2004,Female,15 years old and over,4.345,Hours per day,2022,Sem Informação
Switzerland,Europe and Northern America,2007,Female,15 years old and over,4.3,Hours per day,2022,Sem Informação
Switzerland,Europe and Northern America,2010,Female,15 years old and over,4.018,Hours per day,2022,Sem Informação
Switzerland,Europe and Northern America,2013,Female,15 years old and over,3.969,Hours per day,2022,Sem Informação
Switzerland,Europe and Northern America,2016,Female,15 years old and over,4.04,Hours per day,2022,Sem Informação
Switzerland,Europe and Northern America,2020,Female,15 years old and over,4.155,Hours per day,2022,1.0
Türkiye,Northern Africa and Western Asia,2006,Female,15 years old and over,5.2808494542,Hours per day,2022,Sem Informação
Türkiye,Northern Africa and Western Asia,2015,Female,15 years old and over,4.596281373163342,Hours per day,2022,1.0
Uganda,Sub-Saharan Africa,2018,Female,15 years old and over,3.5,Hours per day,2022,1.0
United Kingdom of Great Britain and Northern Ireland,Europe and Northern America,2015,Female,15 years old and over,3.036666666666667,Hours per day,2022,Sem Informação
United Kingdom of Great Britain and Northern Ireland,Europe and Northern America,2022,Female,15 years old and over,3.84125294789015,Hours per day,2022,1.0
United Kingdom of Great Britain and Northern Ireland,Europe and Northern America,2001,Female,15 years old and over,3.560345,Hours per day,2022,Sem Informação
United States of America,Europe and Northern America,2003,Female,15 years old and over,3.97,Hours per day,2022,Sem Informação
United States of America,Europe and Northern America,2004,Female,15 years old and over,3.989999999999999,Hours per day,2022,Sem Informação
United States of America,Europe and Northern America,2005,Female,15 years old and over,3.96,Hours per day,2022,Sem Informação
United States of America,Europe and Northern America,2006,Female,15 years old and over,3.899999999999999,Hours per day,2022,Sem Informação
United States of America,Europe and Northern America,2007,Female,15 years old and over,3.859999999999999,Hours per day,2022,Sem Informação
United States of America,Europe and Northern America,2008,Female,15 years old and over,3.75,Hours per day,2022,Sem Informação
United States of America,Europe and Northern America,2009,Female,15 years old and over,3.82,Hours per day,2022,Sem Informação
United States of America,Europe and Northern America,2010,Female,15 years old and over,3.67,Hours per day,2022,Sem Informação
United States of America,Europe and Northern America,2011,Female,15 years old and over,3.65,Hours per day,2022,Sem Informação
United States of America,Europe and Northern America,2012,Female,15 years old and over,3.67,Hours per day,2022,Sem Informação
United States of America,Europe and Northern America,2013,Female,15 years old and over,3.74,Hours per day,2022,Sem Informação
United States of America,Europe and Northern America,2014,Female,15 years old and over,3.73,Hours per day,2022,Sem Informação
United States of America,Europe and Northern America,2015,Female,15 years old and over,3.81,Hours per day,2022,Sem Informação
United States of America,Europe and Northern America,2016,Female,15 years old and over,3.82,Hours per day,2022,Sem Informação
United States of America,Europe and Northern America,2017,Female,15 years old and over,3.7,Hours per day,2022,Sem Informação
United States of America,Europe and Northern America,2018,Female,15 years old and over,3.69,Hours per day,2022,Sem Informação
United States of America,Europe and Northern America,2019,Female,15 years old and over,3.68,Hours per day,2022,1.0
Australia,Australia and New Zealand,2006,Male,15 years old and over,2.733333333333334,Hours per day,2022,1.0
Austria,Europe and Northern America,2009,Male,15 years old and over,2.412950110607859,Hours per day,2022,1.0
Armenia,Northern Africa and Western Asia,2004,Male,15 years old and over,1.1,Hours per day,2022,Sem Informação
Armenia,Northern Africa and Western Asia,2008,Male,15 years old and over,1.049,Hours per day,2022,1.0
Belgium,Europe and Northern America,2013,Male,15 years old and over,0.4888,Hours per day,2022,1.0
Cameroon,Sub-Saharan Africa,2014,Male,15 years old and over,1.096281427969095,Hours per day,2022,1.0
Canada,Europe and Northern America,2005,Male,15 years old and over,2.4,Hours per day,2022,Sem Informação
Canada,Europe and Northern America,2010,Male,15 years old and over,2.5,Hours per day,2022,Sem Informação
Canada,Europe and Northern America,2015,Male,15 years old and over,2.4,Hours per day,2022,1.0
Chile,Latin America and the Caribbean,2008,Male,15 years old and over,1.2159453,Hours per day,2022,1.0
Colombia,Latin America and the Caribbean,2017,Male,15 years old and over,0.7026305555555555,Hours per day,2022,1.0
Colombia,Latin America and the Caribbean,2013,Male,15 years old and over,0.4879888888888889,Hours per day,2022,Sem Informação
Costa Rica,Latin America and the Caribbean,2017,Male,15 years old and over,2.010860274965347,Hours per day,2022,1.0
Fiji,"Oceania, exc. Australia and New Zealand",2016,Male,15 years old and over,1.246742062176122,Hours per day,2022,1.0
Finland,Europe and Northern America,2000,Male,15 years old and over,2.405,Hours per day,2022,Sem Informação
Finland,Europe and Northern America,2010,Male,15 years old and over,2.517999999999999,Hours per day,2022,1.0
France,Europe and Northern America,2010,Male,15 years old and over,2.278713899999999,Hours per day,2022,1.0
Georgia,Northern Africa and Western Asia,2021,Male,15 years old and over,0.8901368741856522,Hours per day,2022,1.0
State of Palestine,Northern Africa and Western Asia,2000,Male,15 years old and over,0.7666666666666666,Hours per day,2022,Sem Informação
State of Palestine,Northern Africa and Western Asia,2013,Male,15 years old and over,0.7166666666666667,Hours per day,2022,1.0
Germany,Europe and Northern America,2013,Male,15 years old and over,2.49,Hours per day,2022,1.0
Greece,Europe and Northern America,2014,Male,15 years old and over,1.6833333267,Hours per day,2022,1.0
Hungary,Europe and Northern America,2010,Male,15 years old and over,1.915103357668854,Hours per day,2022,1.0
Italy,Europe and Northern America,2003,Male,15 years old and over,1.58,Hours per day,2022,Sem Informação
Italy,Europe and Northern America,2009,Male,15 years old and over,1.62,Hours per day,2022,Sem Informação
Italy,Europe and Northern America,2014,Male,15 years old and over,1.8,Hours per day,2022,1.0
Japan,Eastern and South-Eastern Asia,2001,Male,15 years old and over,0.5500000000000002,Hours per day,2022,Sem Informação
Japan,Eastern and South-Eastern Asia,2006,Male,15 years old and over,0.65,Hours per day,2022,Sem Informação
Japan,Eastern and South-Eastern Asia,2011,Male,15 years old and over,0.7166666666666667,Hours per day,2022,Sem Informação
Japan,Eastern and South-Eastern Asia,2016,Male,15 years old and over,0.75,Hours per day,2022,Sem Informação
Japan,Eastern and South-Eastern Asia,2021,Male,15 years old and over,0.9,Hours per day,2022,1.0
Kazakhstan,Central and Southern Asia,2018,Male,15 years old and over,1.5,Hours per day,2022,1.0
Republic of Korea,Eastern and South-Eastern Asia,2014,Male,15 years old and over,0.866,Hours per day,2022,Sem Informação
Republic of Korea,Eastern and South-Eastern Asia,2019,Male,15 years old and over,0.9166666666666669,Hours per day,2022,1.0
Lao People's Democratic Republic,Eastern and South-Eastern Asia,2017,Male,15 years old and over,2.415068129852748,Hours per day,2022,1.0
Liberia,Sub-Saharan Africa,2010,Male,15 years old and over,0.6183745583038869,Hours per day,2022,1.0
Mexico,Latin America and the Caribbean,2009,Male,15 years old and over,2.492272979276779,Hours per day,2022,Sem Informação
Mexico,Latin America and the Caribbean,2014,Male,15 years old and over,2.328148878209937,Hours per day,2022,Sem Informação
Mexico,Latin America and the Caribbean,2019,Male,15 years old and over,2.666799615854817,Hours per day,2022,1.0
Mongolia,Eastern and South-Eastern Asia,2019,Male,15 years old and over,1.82312000208267,Hours per day,2022,1.0
Republic of Moldova,Europe and Northern America,2012,Male,15 years old and over,2.705399904269325,Hours per day,2022,1.0
Oman,Northern Africa and Western Asia,2000,Male,15 years old and over,1.766666666666667,Hours per day,2022,Sem Informação
Oman,Northern Africa and Western Asia,2008,Male,15 years old and over,1.8,Hours per day,2022,1.0
Norway,Europe and Northern America,2011,Male,15 years old and over,2.96,Hours per day,2022,1.0
Paraguay,Latin America and the Caribbean,2016,Male,15 years old and over,1.024898904172194,Hours per day,2022,1.0
Peru,Latin America and the Caribbean,2010,Male,15 years old and over,2.14705092909894,Hours per day,2022,1.0
Poland,Europe and Northern America,2013,Male,15 years old and over,2.383,Hours per day,2022,1.0
Portugal,Europe and Northern America,2015,Male,15 years old and over,2.457936666666667,Hours per day,2022,1.0
Serbia,Europe and Northern America,2015,Male,15 years old and over,2.085691274918393,Hours per day,2022,1.0
Serbia,Europe and Northern America,2011,Male,15 years old and over,2.277444463020698,Hours per day,2022,Sem Informação
Sweden,Europe and Northern America,2011,Male,15 years old and over,3.078713109782689,Hours per day,2022,1.0
Switzerland,Europe and Northern America,2000,Male,15 years old and over,2.362,Hours per day,2022,Sem Informação
Switzerland,Europe and Northern America,2004,Male,15 years old and over,2.479,Hours per day,2022,Sem Informação
Switzerland,Europe and Northern America,2007,Male,15 years old and over,2.618,Hours per day,2022,Sem Informação
Switzerland,Europe and Northern America,2010,Male,15 years old and over,2.346,Hours per day,2022,Sem Informação
Switzerland,Europe and Northern America,2013,Male,15 years old and over,2.493,Hours per day,2022,Sem Informação
Switzerland,Europe and Northern America,2016,Male,15 years old and over,2.593,Hours per day,2022,Sem Informação
Switzerland,Europe and Northern America,2020,Male,15 years old and over,2.753000000000001,Hours per day,2022,1.0
Türkiye,Northern Africa and Western Asia,2006,Male,15 years old and over,0.8523650884,Hours per day,2022,Sem Informação
Türkiye,Northern Africa and Western Asia,2015,Male,15 years old and over,0.8893795516583797,Hours per day,2022,1.0
Uganda,Sub-Saharan Africa,2018,Male,15 years old and over,1.8,Hours per day,2022,1.0
United Kingdom of Great Britain and Northern Ireland,Europe and Northern America,2015,Male,15 years old and over,1.671666666666666,Hours per day,2022,Sem Informação
United Kingdom of Great Britain and Northern Ireland,Europe and Northern America,2022,Male,15 years old and over,2.940423744058593,Hours per day,2022,1.0
United Kingdom of Great Britain and Northern Ireland,Europe and Northern America,2001,Male,15 years old and over,1.95481,Hours per day,2022,Sem Informação
United States of America,Europe and Northern America,2003,Male,15 years old and over,2.37,Hours per day,2022,Sem Informação
United States of America,Europe and Northern America,2004,Male,15 years old and over,2.35,Hours per day,2022,Sem Informação
United States of America,Europe and Northern America,2005,Male,15 years old and over,2.32,Hours per day,2022,Sem Informação
United States of America,Europe and Northern America,2006,Male,15 years old and over,2.3,Hours per day,2022,Sem Informação
United States of America,Europe and Northern America,2007,Male,15 years old and over,2.39,Hours per day,2022,Sem Informação
United States of America,Europe and Northern America,2008,Male,15 years old and over,2.26,Hours per day,2022,Sem Informação
United States of America,Europe and Northern America,2009,Male,15 years old and over,2.340000000000001,Hours per day,2022,Sem Informação
United States of America,Europe and Northern America,2010,Male,15 years old and over,2.37,Hours per day,2022,Sem Informação
United States of America,Europe and Northern America,2011,Male,15 years old and over,2.32,Hours per day,2022,Sem Informação
United States of America,Europe and Northern America,2012,Male,15 years old and over,2.24,Hours per day,2022,Sem Informação
United States of America,Europe and Northern America,2013,Male,15 years old and over,2.33,Hours per day,2022,Sem Informação
United States of America,Europe and Northern America,2014,Male,15 years old and over,2.33,Hours per day,2022,Sem Informação
United States of America,Europe and Northern America,2015,Male,15 years old and over,2.339999999999999,Hours per day,2022,Sem Informação
United States of America,Europe and Northern America,2016,Male,15 years old and over,2.35,Hours per day,2022,Sem Informação
United States of America,Europe and Northern America,2017,Male,15 years old and over,2.369999999999999,Hours per day,2022,Sem Informação
United States of America,Europe and Northern America,2018,Male,15 years old and over,2.289999984,Hours per day,2022,Sem Informação
United States of America,Europe and Northern America,2019,Male,15 years old and over,2.32,Hours per day,2022,1.0
Austria,Europe and Northern America,2009,Female,15 to 24 years old,1.959413348968524,Hours per day,2022,1.0
Armenia,Northern Africa and Western Asia,2008,Female,15 to 24 years old,3.54,Hours per day,2022,1.0
Belgium,Europe and Northern America,2013,Female,15 to 24 years old,1.428,Hours per day,2022,1.0
Cameroon,Sub-Saharan Africa,2014,Female,15 to 24 years old,3.449492386518247,Hours per day,2022,1.0
Canada,Europe and Northern America,2015,Female,15 to 24 years old,1.6,Hours per day,2022,1.0
Chile,Latin America and the Caribbean,2008,Female,15 to 24 years old,2.2637136,Hours per day,2022,1.0
Colombia,Latin America and the Caribbean,2017,Female,15 to 24 years old,3.285191666666667,Hours per day,2022,1.0
Colombia,Latin America and the Caribbean,2013,Female,15 to 24 years old,2.364266666666667,Hours per day,2022,Sem Informação
Costa Rica,Latin America and the Caribbean,2017,Female,15 to 24 years old,3.83051388911507,Hours per day,2022,1.0
Fiji,"Oceania, exc. Australia and New Zealand",2016,Female,15 to 24 years old,2.576179482829975,Hours per day,2022,1.0
Finland,Europe and Northern America,2000,Female,15 to 24 years old,2.243,Hours per day,2022,Sem Informação
Finland,Europe and Northern America,2010,Female,15 to 24 years old,1.715,Hours per day,2022,1.0
France,Europe and Northern America,2010,Female,15 to 24 years old,1.7787979,Hours per day,2022,1.0
Georgia,Northern Africa and Western Asia,2021,Female,15 to 24 years old,2.509329976334707,Hours per day,2022,1.0
State of Palestine,Northern Africa and Western Asia,2000,Female,15 to 24 years old,4.516666666666667,Hours per day,2022,Sem Informação
State of Palestine,Northern Africa and Western Asia,2013,Female,15 to 24 years old,3.333333333333334,Hours per day,2022,1.0
Germany,Europe and Northern America,2013,Female,15 to 24 years old,1.597,Hours per day,2022,1.0
Greece,Europe and Northern America,2014,Female,15 to 24 years old,1.366666663,Hours per day,2022,1.0
Hungary,Europe and Northern America,2010,Female,15 to 24 years old,1.939665801652778,Hours per day,2022,1.0
Italy,Europe and Northern America,2003,Female,15 to 24 years old,1.85,Hours per day,2022,Sem Informação
Italy,Europe and Northern America,2009,Female,15 to 24 years old,1.65,Hours per day,2022,Sem Informação
Italy,Europe and Northern America,2014,Female,15 to 24 years old,1.58,Hours per day,2022,1.0
Japan,Eastern and South-Eastern Asia,2001,Female,15 to 24 years old,0.9666666666666666,Hours per day,2022,Sem Informação
Japan,Eastern and South-Eastern Asia,2006,Female,15 to 24 years old,0.9,Hours per day,2022,Sem Informação
Japan,Eastern and South-Eastern Asia,2011,Female,15 to 24 years old,0.8666666666666666,Hours per day,2022,Sem Informação
Japan,Eastern and South-Eastern Asia,2016,Female,15 to 24 years old,0.6666666666666667,Hours per day,2022,Sem Informação
